flight,time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route
48,22.5,2.5,279,21.38252258,27.21096992,-79.78274354,40.4589875,278.648785,0.0060759,-0.022079701,-0.76723069,0.640962362,0.131838961,0.021404791,2.832299654,0.036876362,0.055142447,0.04884208,0.317831144,-0.302321332,-9.91323727,4,0,50,7/1/2019,Tarde,R7
49,34.4,3.599999905,172,23.26811028,30.50300407,-79.78279343,40.45895838,320.5170767,0.010972518,0.000608661,-0.846301377,0.532591045,-0.0114338,-0.02596641,3.04152968,0.026397316,-0.004292054,0.024893932,0.100848235,-0.240646089,-9.870303504,10,250,75,7/3/2019,Tarde,R7
50,97.09,3.599999905,336,22.6095314,21.10400772,-79.78236177,40.45799865,370.6494977,0.026354732,-0.011774856,0.222337082,0.974542558,0.530195873,-0.13543138,0.373161019,-0.029730598,-0.009703411,1.253651381,-0.06187816,0.15933363,-9.82934025,12,0,100,7/3/2019,Noche,R7
51,53.69,9.800000191,110,22.30653572,15.91149998,-79.78138186,40.45955074,322.4660638,0.10126394,-0.069691628,-0.488589019,0.863811135,0.017021675,7.077965684,-1.665751252,0.227208585,-0.025463378,0.040876873,-0.869685108,-0.535289898,-9.777030475,12,250,50,7/3/2019,Tarde,A1
52,97.29,10.39999962,224,21.14463234,21.92304039,-79.78225772,40.45816348,372.7885242,-0.035975952,-0.077694409,0.972381175,0.217127159,0.062565439,9.841297184,1.48146767,0.178164721,-0.035762243,-0.025033019,-1.614926119,-0.154260257,-10.07815682,10,500,100,7/3/2019,Tarde,A1
53,160.3,1.899999976,289,23.13163757,20.87340736,-79.78275786,40.45898281,278.7133923,0.005434597,-0.018378407,-0.593562484,0.804559767,-0.111709754,-0.544867274,-0.95974204,0.024720892,-0.284592152,0.084685341,0.355120483,0.023429428,-9.666022255,10,250,100,7/3/2019,Tarde,A1
54,149.5,1.100000024,314,22.11872864,22.71026611,-79.78275954,40.4589944,279.6430137,0.003847696,-0.008795312,-0.594248831,0.804224074,-0.063625526,-0.026222452,-0.930610091,0.083321765,0.040101826,0.035373408,0.190603224,-0.004808835,-9.933915364,6,250,50,7/3/2019,Tarde,A1
55,154,3.400000095,42,21.0745182,27.43362045,-79.78276162,40.45898946,283.7995917,-0.02872204,0.002517716,-0.621807873,0.782638967,-0.15672569,0.090984286,-1.008981254,-0.074732393,-0.046651695,0.003867197,-0.242001419,0.17143013,-9.701986139,12,500,100,7/3/2019,Tarde,A1
56,182.7,2.400000095,45,22.95259285,21.17557335,-79.78276239,40.4589918,282.0700645,-0.013732586,-0.012399379,-0.618746758,0.785372674,-0.023831436,-0.011702525,-1.122534591,0.065851443,-0.078923441,0.123343378,0.043521137,-0.079672516,-9.552245378,4,500,50,7/3/2019,Tarde,A2
57,117.09,1.600000024,194,22.23266411,22.16954613,-79.78275191,40.45898396,287.5215915,0.011006794,1.85E-05,-0.611925364,0.790838897,0.016939096,0.090722891,-1.163690403,-0.011038118,-0.031902395,-0.021278983,0.222447032,-0.078176835,-9.661362609,10,250,50,7/3/2019,Tarde,A2
58,167.31,1,221,22.66837883,0.06361419,-79.78275493,40.45898539,271.6911946,0.02540387,0.018224724,-0.691699922,0.721507967,-0.00556096,0.007202405,0.019186655,-0.000793765,-0.000579745,0.001619888,0.13900076,-0.607966586,-9.78447398,12,250,75,7/3/2019,Tarde,A2
59,80.6,7.5,210,22.19009399,22.57508659,-79.78201687,40.45850591,295.5988457,-0.015256904,-0.060108241,0.972453833,0.224694923,-0.014116697,5.988344109,0.599940331,-0.130864233,0.088193625,-0.150805682,-1.191403591,0.227194204,-9.67295179,6,250,25,7/3/2019,Tarde,A2
60,156.9,6.199999809,9,21.41757965,26.05796242,-79.78272552,40.45892771,318.6415125,-0.035766561,-0.00449814,0.117362544,0.99243474,-0.222425235,4.042867593,0.362372466,-0.073610313,0.011204532,-0.206989199,-0.70199398,0.152057062,-10.00715993,4,250,50,7/3/2019,Tarde,A2
61,213.81,1.299999952,139,23.07279015,0.055662416,-79.78274499,40.45899815,273.3070513,0.023572966,0.01641023,-0.686844349,0.72623688,-0.002746232,0.000252729,0.013199908,0.002033366,0.002971587,0.003747328,0.127226761,-0.567690051,-9.789996675,4,250,50,7/3/2019,Noche,A2
62,38.4,4,17,20.89923096,28.30036354,-79.78271388,40.45898674,351.0479457,-0.131400496,0.066615567,-0.556427956,0.817731202,0.194453396,2.272887679,1.051489139,0.034871019,-0.106978849,0.058530811,-0.524306379,0.227632233,-10.27639029,8,500,75,7/3/2019,Noche,A2
63,30.19,3.5,322,23.37703896,24.60278893,-79.78273753,40.45899574,303.3552956,0.003280402,-0.017895548,-0.799270749,0.60069567,0.001312844,0.060925721,3.064668402,0.104875736,0.022660691,0.114912659,0.309621179,-0.017277024,-9.732060124,6,0,75,7/3/2019,Noche,A2
64,48.5,5.400000095,311,22.06238556,27.60855865,-79.78274822,40.45899983,357.7556308,0.013809746,-0.040160835,-0.74104917,0.670106351,0.135574392,0.22737756,3.134652841,0.049527794,0.04701053,-0.065594725,0.902737518,0.437571706,-9.941854713,10,0,100,7/3/2019,Noche,A3
65,72.11,8.699999809,318,21.13586807,27.11554909,-79.781348,40.45954675,346.7857532,-0.114745758,-0.120113887,0.962716401,0.213502496,0.528116041,3.943944164,1.552374038,0.102341883,-0.011989834,0.247626126,-0.485642689,-1.866646999,-9.986597607,8,0,75,7/3/2019,Noche,A3
66,60.7,9.699999809,59,22.9025116,22.07412529,-79.7816954,40.45942669,316.9267947,-0.061957747,0.034688644,-0.535873473,0.841307104,-0.231975576,5.935445097,0.936051456,0.041653622,-0.025614688,-0.039140414,-1.307333924,-0.015037961,-9.796271907,6,500,50,7/9/2019,Tarde,A3
67,124.5,0.200000003,311,23.26811028,0.079517737,-79.78278856,40.4590007,266.8802902,-0.012970665,0.005844405,-0.999112546,0.039646793,-0.043338813,0.038765106,0.004709082,-0.004759243,-0.002998238,0.00103056,-0.101470178,0.185627481,-9.800822795,10,500,25,7/9/2019,Tarde,A3
68,84.3,9.399999619,232,21.38252258,24.08592415,-79.78205239,40.45846552,340.8119333,-0.013807368,-0.113150641,0.958652079,0.260753721,-0.78198811,9.523974023,2.629230108,-0.037879627,0.114327691,0.114471994,-1.749572,0.240835904,-9.79500657,10,250,75,7/9/2019,Tarde,A3
69,40.5,1.5,334,23.78645897,21.07220078,-79.78279329,40.45901563,316.9232479,-0.066059105,0.016920594,-0.583495498,0.809248328,0.206740609,-0.066748143,0.640029809,0.214132041,-0.525191426,0.11518681,0.195694175,0.246351601,-10.30341028,6,0,50,7/9/2019,Tarde,A3
70,36.2,7.699999809,66,22.82613564,21.96279907,-79.7825734,40.45909848,296.1112086,-0.024932476,0.003717949,-0.580409229,0.813934743,-0.855880932,6.570122712,0.284092878,-0.040071312,0.102266975,-0.021511016,-1.169617816,0.210875904,-9.774116807,6,0,25,7/9/2019,Tarde,A3
71,169.2,2.799999952,33,23.08030319,22.12978745,-79.7828052,40.45903593,297.5677008,3.31E-05,-0.024931327,-0.748424292,0.662751555,0.101819125,-0.119704904,-2.574701306,-0.185581714,-0.002488618,1.112395406,0.224503571,0.686881486,-10.50590988,6,0,100,7/9/2019,Tarde,H
72,107.9,6,172,22.12248421,24.0779705,-79.78187532,40.45874262,369.1385015,0.010507622,-0.044561893,0.974764109,0.218492433,0.081891152,5.935593202,0.382513229,-0.056276496,-0.026840365,-0.105585702,-0.920012605,0.407011306,-9.491425565,6,250,100,7/9/2019,Tarde,H
73,69.6,1.399999976,325,21.29487801,26.04205894,-79.7813172,40.45956444,345.1135927,-0.011473657,-0.098195687,0.970955431,0.217879951,0.843437905,0.719810303,0.375703141,-0.4363648,0.266409814,-0.083889313,-0.080135506,-0.239363338,-10.25131977,12,250,75,7/9/2019,Tarde,H
74,67.2,2.5,82,21.16591644,29.73168182,-79.781291,40.45956904,345.2098986,0.07899911,-0.075198054,-0.520074785,0.84712851,-0.107995979,-0.317520339,-0.182964064,-0.257855594,-1.737023115,0.332175046,1.381964276,0.119943387,-10.7609666,12,250,75,7/9/2019,Tarde,H
75,96.5,7.699999809,217,23.9767704,17.43028831,-79.78212544,40.45835336,344.0714661,-0.01994257,-0.050325401,0.965927958,0.253086507,-0.347165513,5.977526359,0.578590984,0.047969949,0.081540629,-0.075806625,-1.309214681,-0.21516385,-9.608289186,6,0,75,7/9/2019,Tarde,H
76,42.6,4.900000095,32,20.22687912,35.07527542,-79.7822309,40.45917825,294.2638199,-0.033987835,-0.017514953,-0.63568157,0.771003902,-1.140153237,3.688298084,0.482793312,0.049121823,0.03363505,-0.015035509,-0.42046447,0.544041572,-10.3967178,4,750,25,6/11/2019,Manana,R1
